MHG;Siste;Kjøper;Selger;Høy;Lav;Totalt omsatt (NOK);Totalt antall aksjer omsatt;Antall off. handler;Antall handler totalt;VWAP
03.05.2017;143.4;143.4;143.5;144.6;142.3;374161661.00;2612267.00;4613.00;4618.00;143.2324
02.05.2017;144.3;144.2;144.3;144.4;139.9;412617755.00;2881372.00;5382.00;5384.00;143.1846
28.04.2017;142.8;142.5;142.8;143.1;140.2;518796948.00;3633461.00;5939.00;5946.00;142.256
27.04.2017;141.2;141.2;141.3;142.2;138.8;402924103.00;2861284.00;5363.00;5372.00;140.8095
26.04.2017;139;138.9;139;139.8;137.1;315135283.00;2274671.00;4964.00;4975.00;138.5449
25.04.2017;138.7;138.6;138.7;138.7;135.3;294389843.00;2133294.00;4504.00;4515.00;138.0454
24.04.2017;135.6;135.4;135.6;135.7;132;260557861.00;1937233.00;4134.00;4136.00;134.5011
21.04.2017;133.5;133.3;133.5;135.2;132.8;338406189.00;2530859.00;4871.00;4883.00;133.6074
20.04.2017;135;134.8;135;137.8;133.6;515335898.00;3797308.00;6241.00;6249.00;135.3629
19.04.2017;134.1;134.1;134.2;137.7;133.7;394399369.00;2928733.00;5796.00;5803.00;134.6407
18.04.2017;137.1;136.9;137.2;138.4;135.7;417308986.00;3051009.00;6157.00;6166.00;136.7685
12.04.2017;133.1;133;133.2;133.7;132.3;164262687.00;1235867.00;2439.00;2441.00;132.9131
11.04.2017;133.7;133.6;133.7;133.7;132;217548867.00;1632388.00;3047.00;3054.00;133.2711
10.04.2017;133;132.7;133;134;132.5;209442062.00;1573546.00;3952.00;3962.00;133.0814
07.04.2017;133.7;133.6;133.7;136;133.3;364460191.00;2713766.00;5863.00;5874.00;134.3237
06.04.2017;134;133.8;134;134.4;130;452131840.00;3400402.00;6278.00;6312.00;132.6587
05.04.2017;129.9;129.9;130;130.4;128.2;359278430.00;2775226.00;5516.00;5529.00;129.461
04.04.2017;129.6;129.6;129.7;131.4;129.2;356620348.00;2741126.00;4711.00;4721.00;130.0949
03.04.2017;130.9;130.9;131;132;130.4;260161200.00;1983509.00;4046.00;4054.00;131.1628
31.03.2017;130.9;130.9;131;133;128.5;700407495.00;5380380.00;10549.00;10568.00;130.2076
30.03.2017;133.1;133;133.1;133.9;132.2;234727308.00;1763667.00;3293.00;3313.00;133.0818
