STL;Siste;Kjøper;Selger;Høy;Lav;Totalt omsatt (NOK);Totalt antall aksjer omsatt;Antall off. handler;Antall handler totalt;VWAP
05.05.17;146.60;146.50;146.60;147.00;140.40;986006935;6811238;9929;9945;144.7587
04.05.17;142.00;141.80;142.00;146.70;141.60;943125912;6538745;11125;11159;144.2113
03.05.17;141.50;141.40;141.50;141.50;139.40;378748002;2694714;4143;4151;140.5526
02.05.17;141.30;141.30;141.40;142.60;140.30;380801394;2692668;4718;4731;141.4198
28.04.17;141.70;141.70;141.80;142.30;141.20;447138563;3155158;3981;3991;141.7108
27.04.17;140.60;140.60;140.70;142.10;140.30;438451743;3109361;5168;5174;140.9815
26.04.17;142.50;142.20;142.50;142.90;141.30;512244684;3600122;5708;5722;142.2829
25.04.17;142.50;142.50;142.60;143.50;141.80;568798758;3994760;6330;6342;142.3908
24.04.17;143.00;142.90;143.00;143.90;141.80;660971019;4628595;6414;6417;142.8466
21.04.17;141.40;141.40;141.50;142.80;141.00;668600113;4702441;6135;6151;141.6072
20.04.17;141.80;141.70;141.80;142.00;140.70;606769090;4251359;6087;6099;141.4246
19.04.17;142.80;142.70;142.80;143.30;142.00;410343447;2876597;4620;4623;142.6489
18.04.17;143.90;143.80;143.90;147.80;142.60;820211556;5681430;8536;8547;144.3775
12.04.17;149.40;149.30;149.40;149.90;148.60;200844592;1345905;1701;1703;149.2265
11.04.17;148.60;148.50;148.60;149.70;148.00;257227718;1728890;2404;2407;148.7819
10.04.17;149.60;149.50;149.60;149.80;148.60;230953129;1546592;2521;2524;149.3303
07.04.17;149.10;149.00;149.10;150.20;148.60;407439764;2729494;3823;3826;149.2728
06.04.17;149.00;148.90;149.00;149.60;147.70;469019505;3154584;3975;3978;148.6715
05.04.17;150.60;150.60;150.80;151.00;149.60;448130354;2978833;4236;4237;150.4385
04.04.17;148.10;148.10;148.20;149.20;147.40;356726176;2408281;3593;3595;148.1246
03.04.17;148.20;148.20;148.30;149.30;147.90;504006674;3396515;4361;4363;148.3894
31.03.17;146.70;146.70;146.80;148.10;145.90;508264803;3461734;4570;4572;146.8238
30.03.17;148.20;148.00;148.20;148.80;147.00;533152854;3605926;5181;5186;147.8549
29.03.17;144.90;144.90;145.00;145.00;144.00;428194365;2960253;4253;4260;144.6492
28.03.17;143.00;143.00;143.10;143.30;141.70;493381276;3455396;5046;5055;142.7851
27.03.17;142.30;142.20;142.30;144.00;142.00;483283839;3387913;4925;4929;142.6472
24.03.17;144.00;144.00;144.30;145.20;143.90;445360780;3084179;4341;4344;144.4161
23.03.17;144.80;144.80;145.00;146.00;143.70;580153042;4009716;5608;5614;144.6913
22.03.17;146.20;146.20;146.30;147.30;145.00;526151561;3596115;5144;5151;146.3136
21.03.17;148.00;148.00;148.10;150.20;147.90;340577502;2285864;3648;3656;148.9876
20.03.17;148.30;148.30;148.40;149.30;148.00;311738250;2100708;2735;2738;148.4003
17.03.17;149.40;149.40;149.50;150.20;148.40;547770065;3665226;3621;3632;149.385
16.03.17;148.90;148.90;149.00;150.40;148.60;494531338;3311727;5595;5600;149.343
15.03.17;148.20;148.20;148.30;148.40;146.00;630797770;4268067;5290;5296;147.7895
14.03.17;145.50;145.50;145.60;148.80;144.10;711402242;4865431;7367;7371;146.218
13.03.17;147.50;147.50;147.60;148.70;146.90;508123080;3441699;4086;4089;147.6368
10.03.17;147.90;147.70;147.90;148.80;145.60;592831633;4024082;5660;5664;147.3206
09.03.17;144.90;144.80;144.90;145.10;142.50;949110838;6591845;10007;10025;143.9834
08.03.17;147.20;147.10;147.20;148.00;146.10;384479813;2613001;3799;3801;147.1412
07.03.17;148.40;148.30;148.40;149.20;147.70;284574295;1917470;2710;2715;148.4104
06.03.17;148.40;148.40;148.50;148.80;147.40;355215366;2396957;3675;3677;148.1943
03.03.17;148.30;148.30;148.40;148.90;147.70;493775637;3330287;4334;4340;148.2687
02.03.17;149.80;149.70;149.90;150.60;149.20;559441387;3732956;5187;5192;149.8654
01.03.17;150.10;149.90;150.20;150.50;148.20;444366520;2967579;4383;4389;149.7357
28.02.17;148.40;148.30;148.40;148.60;147.50;613646843;4138114;5127;5132;148.29
27.02.17;147.70;147.70;147.90;148.30;147.30;529232123;3580553;5367;5370;147.8074
24.02.17;147.10;147.10;147.20;148.90;146.60;592795993;4024733;6381;6388;147.2884
23.02.17;148.50;148.50;148.60;149.40;147.20;488063861;3284497;4455;4458;148.5961
22.02.17;147.70;147.70;147.80;150.30;147.50;677625016;4558511;6708;6711;148.6424
21.02.17;151.50;151.40;151.50;151.90;147.10;636406902;4230390;5760;5763;150.4616
20.02.17;147.50;147.50;147.70;148.70;147.30;368482345;2491691;4320;4326;147.8862
17.02.17;147.10;147.00;147.10;148.20;145.90;639692577;4344784;6225;6238;146.9868
16.02.17;148.30;148.30;148.40;149.60;147.10;598507017;4038827;6347;6353;148.185
15.02.17;147.50;147.50;147.60;150.20;147.00;503838262;3399085;4871;4879;148.2341
14.02.17;149.30;149.30;149.50;151.30;149.00;413428088;2756670;3768;3776;149.9767
13.02.17;150.80;150.80;150.90;151.30;150.00;395735966;2627927;3616;3620;150.576
10.02.17;150.60;150.60;150.70;150.90;148.70;638386159;4260685;7290;7294;149.8316
