Date;1 USD
03.05.2017;8.5977
02.05.2017;8.5918
01.05.2017;
28.04.2017;8.5309
27.04.2017;8.5807
26.04.2017;8.5821
25.04.2017;8.5537
24.04.2017;8.5223
21.04.2017;8.6444
20.04.2017;8.5733
19.04.2017;8.5341
18.04.2017;8.5277
17.04.2017;
14.04.2017;
13.04.2017;
12.04.2017;8.5842
11.04.2017;8.5950
10.04.2017;8.6446
07.04.2017;8.6155
06.04.2017;8.5963
05.04.2017;8.5845
04.04.2017;8.6180
03.04.2017;8.5797
31.03.2017;8.5757
30.03.2017;8.5401
29.03.2017;8.5512
28.03.2017;8.5072
27.03.2017;8.4662
24.03.2017;8.4954
23.03.2017;8.4812
22.03.2017;8.4633
21.03.2017;8.4478
20.03.2017;8.4894
17.03.2017;8.4775
16.03.2017;8.5389
15.03.2017;8.6004
14.03.2017;8.6078
13.03.2017;8.5621
10.03.2017;8.6182
09.03.2017;8.5734
08.03.2017;8.4798
07.03.2017;8.4572
06.03.2017;8.4661
03.03.2017;8.4527
02.03.2017;8.4487
01.03.2017;8.4134
28.02.2017;8.3696
27.02.2017;8.3483
24.02.2017;8.3292
23.02.2017;8.3297
22.02.2017;8.3851
21.02.2017;8.3646
20.02.2017;8.3429
17.02.2017;8.3235
16.02.2017;8.3261
15.02.2017;8.3868
14.02.2017;8.3583
13.02.2017;8.3750
10.02.2017;8.3794
09.02.2017;8.3109
08.02.2017;8.3296
07.02.2017;8.3221
06.02.2017;8.2580
03.02.2017;8.2458
02.02.2017;8.1953
01.02.2017;8.2326
31.01.2017;8.2641
30.01.2017;8.3498
27.01.2017;8.3503
26.01.2017;8.3379
25.01.2017;8.3266
24.01.2017;8.3344
23.01.2017;8.3938
20.01.2017;8.4641
19.01.2017;8.4545
18.01.2017;8.4706
17.01.2017;8.4575
16.01.2017;8.5480
13.01.2017;8.4964
12.01.2017;8.4863
11.01.2017;8.6292
10.01.2017;8.5881
09.01.2017;8.5767
06.01.2017;8.4869
05.01.2017;8.5911
04.01.2017;8.6141
03.01.2017;8.6676
02.01.2017;8.6520
30.12.2016;8.6200
29.12.2016;8.6825
28.12.2016;8.7277
27.12.2016;8.7198
26.12.2016;
23.12.2016;8.7046
22.12.2016;8.7107
21.12.2016;8.6614
20.12.2016;8.7170
19.12.2016;8.6821
16.12.2016;8.6812
15.12.2016;8.6374
14.12.2016;8.4764
13.12.2016;8.4350
12.12.2016;8.4464
09.12.2016;8.5051
08.12.2016;8.3762
07.12.2016;8.3791
06.12.2016;8.3662
05.12.2016;8.3947
02.12.2016;8.4439
01.12.2016;8.4340
30.11.2016;8.4805
29.11.2016;8.5822
28.11.2016;8.5803
25.11.2016;8.5621
24.11.2016;8.6138
23.11.2016;8.5531
